stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
782512,"","","World Trade Center Station East Entrance","",40.7118,-74.0112,,,2,26734,
781717,"","3","Hoboken (Platform 3)","",40.73586,-74.02922,,,0,26730,
26726,"","","Christopher Street","",40.73295,-74.00707,,,1,,
782504,"","","9th Street Station Entrance","",40.7341,-73.9987,,,2,26725,
782506,"","","14th Street Station South Entrance","",40.7373,-73.9972,,,2,26722,
782490,"","","Newark Station Bus Terminal Entrance","",40.7344,-74.1635,,,2,26733,
782495,"","","Journal Square Station East Entrance","",40.7317,-74.0613,,,2,26731,
781738,"","1","23rd Street (Platform 1)","",40.7429,-73.99278,,,0,26723,
781718,"","B","Newark Penn Station (Platform B)","",40.73454,-74.16375,,,0,26733,
781766,"","4/5","World Trade Center (Platform 4/5)","",40.71271,-74.01193,,,0,26734,
781723,"","2","Journal Square (Platform 2)","",40.73301,-74.06289,,,0,26731,
782492,"","","Harrison Station North Entrance","",40.739,-74.1558,,,2,26729,
781735,"","2","9th Street (Platform 2)","",40.73424,-73.9991,,,0,26725,
26730,"","","Hoboken","",40.73586,-74.02922,,,1,,
781725,"","4","Journal Square (Platform 4)","",40.73301,-74.06289,,,0,26731,
781727,"","2","Grove Street (Platform 2)","",40.71966,-74.04245,,,0,26728,
781720,"","1","Harrison (Platform 1)","",40.73942,-74.15587,,,0,26729,
781731,"","2","Exchange Place (Platform 2)","",40.71676,-74.03238,,,0,26727,
26722,"","","14th Street","",40.73735,-73.99684,,,1,,
782497,"","","Grove Street Station West Entrance","",40.7195,-74.0425,,,2,26728,
782503,"","","Christopher Street Station Entrance","",40.733,-74.0071,,,2,26726,
781765,"","3","World Trade Center (Platform 3)","",40.71271,-74.01193,,,0,26734,
781732,"","1","Christopher Street (Platform 1)","",40.73295,-74.00707,,,0,26726,
781715,"","1","Hoboken (Platform 1)","",40.73586,-74.02922,,,0,26730,
782502,"","","World Trade Center Station Entrance","",40.712822,-74.011766,,,2,26734,
26727,"","","Exchange Place","",40.71676,-74.03238,,,1,,
782510,"","","33rd Street Station 32nd and Broadway Entrance","",40.7484,-73.9876,,,2,26724,
782509,"","","33rd Street Station Greeley Square Entrance","",40.7485,-73.9884,,,2,26724,
781733,"","2","Christopher Street (Platform 2)","",40.73295,-74.00707,,,0,26726,
782505,"","","14th Street Station North Entrance","",40.7377,-73.997,,,2,26722,
782511,"","","33rd Street Station 33rd and 6th Entrance","",40.7495,-73.9885,,,2,26724,
782493,"","","Harrison Station South Entrance","",40.7395,-74.1559,,,2,26729,
781722,"","1","Journal Square (Platform 1)","",40.73301,-74.06289,,,0,26731,
782508,"","","33rd Street Station Manhattan Mall Entrance","",40.7487,-73.9886,,,2,26724,
26729,"","","Harrison","",40.73942,-74.15587,,,1,,
782500,"","","Hoboken Station East Entrance","",40.7352,-74.0276,,,2,26730,
782499,"","","Hoboken Station North Entrance","",40.7356,-74.0288,,,2,26730,
26728,"","","Grove Street","",40.71966,-74.04245,,,1,,
782498,"","","Newport Station Entrance","",40.727,-74.0338,,,2,26732,
782501,"","","Exchange Place Station Entrance","",40.7165,-74.0334,,,2,26727,
781726,"","1","Grove Street (Platform 1)","",40.71966,-74.04245,,,0,26728,
781734,"","1","9th Street (Platform 1)","",40.73424,-73.9991,,,0,26725,
782491,"","","Newark Station Taxi Stand Entrance","",40.7343,-74.1649,,,2,26733,
781741,"","2","33rd Street (Platform 2)","",40.74912,-73.98827,,,0,26724,
26724,"","","33rd Street","",40.74912,-73.98827,,,1,,
781764,"","2","World Trade Center (Platform 2)","",40.71271,-74.01193,,,0,26734,
781716,"","2","Hoboken (Platform 2)","",40.73586,-74.02922,,,0,26730,
781724,"","3","Journal Square (Platform 3)","",40.73301,-74.06289,,,0,26731,
781737,"","2","14th Street (Platform 2)","",40.73735,-73.99684,,,0,26722,
26732,"","","Newport","",40.72699,-74.03383,,,1,,
26725,"","","9th Street","",40.73424,-73.9991,,,1,,
782496,"","","Grove Street Station East Entrance","",40.7191,-74.0412,,,2,26728,
781730,"","1","Exchange Place (Platform 1)","",40.71676,-74.03238,,,0,26727,
782494,"","","Journal Square Station North Entrance","",40.7322,-74.0629,,,2,26731,
781721,"","2","Harrison (Platform 2)","",40.73942,-74.15587,,,0,26729,
781728,"","1","Newport (Platform 1)","",40.72699,-74.03383,,,0,26732,
781729,"","2","Newport (Platform 2)","",40.72699,-74.03383,,,0,26732,
781719,"","H","Newark Penn Station (Platform H)","",40.73454,-74.16375,,,0,26733,
26731,"","","Journal Square","",40.73301,-74.06289,,,1,,
26733,"","","Newark Penn Station","",40.73454,-74.16375,,,1,,
781763,"","1","World Trade Center (Platform 1)","",40.71271,-74.01193,,,0,26734,
781740,"","1","33rd Street (Platform 1)","",40.74912,-73.98827,,,0,26724,
782507,"","","23rd Street Station Entrance","",40.7428,-73.9927,,,2,26723,
781739,"","2","23rd Street (Platform 2)","",40.7429,-73.99278,,,0,26723,
26723,"","","23rd Street","",40.7429,-73.99278,,,1,,
781736,"","1","14th Street (Platform 1)","",40.73735,-73.99684,,,0,26722,
26734,"","","World Trade Center","",40.71271,-74.01193,,,1,,
